[5/13/2019 10:01:10 PM]  Starting Crawl                          http://books.toscrape.com/
[5/13/2019 10:01:11 PM]  Generated Queue                         http://books.toscrape.com/
[5/13/2019 10:01:11 PM]  Processing new page                     http://books.toscrape.com/index.html
[5/13/2019 10:01:11 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books_1/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/travel_2/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/classics_6/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
[5/13/2019 10:01:12 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/romance_8/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/religion_12/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/music_14/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/default_15/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
[5/13/2019 10:01:13 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
[5/13/2019 10:01:14 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
[5/13/2019 10:01:14 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
[5/13/2019 10:01:14 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
[5/13/2019 10:01:14 PM]  Processing new page                     http://books.toscrape.com/catalogue/category/books/science_22/index.html
